   b'api-ms-win-core-libraryloader-l1-2-0.dll'                            b'DisableThreadLibraryCalls'
        b'api-ms-win-security-sddl-l1-1-0.dll'                               b'ConvertSidToStringSidW'
        b'api-ms-win-security-sddl-l1-1-0.dll' b'ConvertStringSecurityDescriptorToSecurityDescriptorW'
        b'api-ms-win-security-sddl-l1-1-0.dll'                               b'ConvertStringSidToSidW'
   b'api-ms-win-core-errorhandling-l1-1-1.dll'                          b'SetUnhandledExceptionFilter'
   b'api-ms-win-core-errorhandling-l1-1-1.dll'                                         b'GetLastError'
   b'api-ms-win-core-errorhandling-l1-1-1.dll'                             b'UnhandledExceptionFilter'
                                 b'bcrypt.dll'                                     b'BCryptFinishHash'
                                 b'bcrypt.dll'                         b'BCryptCloseAlgorithmProvider'
                                 b'bcrypt.dll'                                    b'BCryptDestroyHash'
                                 b'bcrypt.dll'                                       b'BCryptHashData'
                                 b'bcrypt.dll'                                     b'BCryptCreateHash'
                                 b'bcrypt.dll'                                     b'BCryptDestroyKey'
                                 b'bcrypt.dll'                           b'BCryptGenerateSymmetricKey'
                                 b'bcrypt.dll'                                b'BCryptFinalizeKeyPair'
                                 b'bcrypt.dll'                                      b'BCryptImportKey'
                                 b'bcrypt.dll'                          b'BCryptOpenAlgorithmProvider'
                                 b'bcrypt.dll'                                    b'BCryptGetProperty'
                                 b'bcrypt.dll'                                b'BCryptGenerateKeyPair'
                                 b'bcrypt.dll'                                      b'BCryptExportKey'
                                 b'bcrypt.dll'                                      b'BCryptDeriveKey'
                                 b'bcrypt.dll'                                  b'BCryptDestroySecret'
                                 b'bcrypt.dll'                                      b'BCryptGenRandom'
                                 b'bcrypt.dll'                                b'BCryptSecretAgreement'
                                 b'bcrypt.dll'                                    b'BCryptSetProperty'
                                 b'bcrypt.dll'                                  b'BCryptKeyDerivation'
                                 b'bcrypt.dll'                                  b'BCryptImportKeyPair'
            b'api-ms-win-core-heap-l2-1-0.dll'                                            b'LocalFree'
         b'api-ms-win-core-profile-l1-1-0.dll'                              b'QueryPerformanceCounter'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                   b'GetCurrentThreadId'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'OpenProcessToken'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'GetCurrentThread'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                      b'OpenThreadToken'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                    b'GetCurrentProcess'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'TerminateProcess'
  b'api-ms-win-core-processthreads-l1-1-2.dll'                                  b'GetCurrentProcessId'
         b'api-ms-win-core-sysinfo-l1-2-1.dll'                              b'GetSystemTimeAsFileTime'
         b'api-ms-win-core-sysinfo-l1-2-1.dll'                                        b'GetSystemTime'
         b'api-ms-win-core-sysinfo-l1-2-1.dll'                                         b'GetTickCount'
      b'api-ms-win-core-rtlsupport-l1-2-0.dll'                                     b'RtlVirtualUnwind'
      b'api-ms-win-core-rtlsupport-l1-2-0.dll'                               b'RtlLookupFunctionEntry'
      b'api-ms-win-core-rtlsupport-l1-2-0.dll'                                    b'RtlCaptureContext'
            b'api-ms-win-core-file-l1-2-1.dll'                                     b'CreateDirectoryW'
            b'api-ms-win-core-file-l1-2-1.dll'                                             b'ReadFile'
            b'api-ms-win-core-file-l1-2-1.dll'                                     b'FindFirstFileExW'
            b'api-ms-win-core-file-l1-2-1.dll'                                        b'FindNextFileW'
            b'api-ms-win-core-file-l1-2-1.dll'                                            b'WriteFile'
            b'api-ms-win-core-file-l1-2-1.dll'                                     b'RemoveDirectoryW'
            b'api-ms-win-core-file-l1-2-1.dll'                                            b'FindClose'
            b'api-ms-win-core-file-l1-2-1.dll'                                          b'CreateFileW'
            b'api-ms-win-core-file-l1-2-1.dll'                                          b'DeleteFileW'
            b'api-ms-win-core-file-l1-2-1.dll'                                          b'GetFileSize'
                                b'CRYPT32.dll'                                     b'CryptProtectData'
                                b'CRYPT32.dll'                                   b'CryptUnprotectData'
                                b'CRYPT32.dll'                                 b'CryptBinaryToStringW'
          b'api-ms-win-core-handle-l1-1-0.dll'                                          b'CloseHandle'
           b'api-ms-win-core-synch-l1-2-0.dll'                                 b'ReleaseSRWLockShared'
           b'api-ms-win-core-synch-l1-2-0.dll'                              b'ReleaseSRWLockExclusive'
           b'api-ms-win-core-synch-l1-2-0.dll'                                    b'InitializeSRWLock'
           b'api-ms-win-core-synch-l1-2-0.dll'                              b'AcquireSRWLockExclusive'
           b'api-ms-win-core-synch-l1-2-0.dll'                                 b'AcquireSRWLockShared'
        b'api-ms-win-security-base-l1-2-0.dll'                         b'InitializeSecurityDescriptor'
        b'api-ms-win-security-base-l1-2-0.dll'                                        b'InitializeAcl'
        b'api-ms-win-security-base-l1-2-0.dll'                           b'SetSecurityDescriptorGroup'
        b'api-ms-win-security-base-l1-2-0.dll'                            b'SetSecurityDescriptorDacl'
        b'api-ms-win-security-base-l1-2-0.dll'                          b'GetSecurityDescriptorLength'
        b'api-ms-win-security-base-l1-2-0.dll'                                  b'AddAccessAllowedAce'
        b'api-ms-win-security-base-l1-2-0.dll'                                           b'IsValidSid'
        b'api-ms-win-security-base-l1-2-0.dll'                                              b'CopySid'
        b'api-ms-win-security-base-l1-2-0.dll'                                         b'GetLengthSid'
        b'api-ms-win-security-base-l1-2-0.dll'                                  b'GetTokenInformation'
        b'api-ms-win-security-base-l1-2-0.dll'                           b'SetSecurityDescriptorOwner'
        b'api-ms-win-security-base-l1-2-0.dll'                            b'IsValidSecurityDescriptor'
            b'api-ms-win-core-heap-l1-2-0.dll'                                            b'HeapAlloc'
            b'api-ms-win-core-heap-l1-2-0.dll'                                       b'GetProcessHeap'
            b'api-ms-win-core-heap-l1-2-0.dll'                                             b'HeapFree'
        b'api-ms-win-core-timezone-l1-1-0.dll'                                 b'SystemTimeToFileTime'
          b'api-ms-win-core-string-l1-1-0.dll'                                       b'CompareStringW'
   b'api-ms-win-security-lsapolicy-l1-1-0.dll'                                        b'LsaFreeMemory'
   b'api-ms-win-security-lsapolicy-l1-1-0.dll'                                        b'LsaOpenPolicy'
   b'api-ms-win-security-lsapolicy-l1-1-0.dll'                                             b'LsaClose'
   b'api-ms-win-security-lsapolicy-l1-1-0.dll'                            b'LsaQueryInformationPolicy'
b'api-ms-win-security-base-private-l1-1-1.dll'                    b'IsValidRelativeSecurityDescriptor'
 b'api-ms-win-core-kernel32-legacy-l1-1-1.dll'                                b'CreateFileTransactedW'
                                  b'ntdll.dll'                                     b'EtwEventRegister'
                                  b'ntdll.dll'                                             b'_ultow_s'
                                  b'ntdll.dll'                                             b'wcscpy_s'
                                  b'ntdll.dll'                                              b'_wtoi64'
                                  b'ntdll.dll'                                           b'_ui64tow_s'
                                  b'ntdll.dll'                                        b'EtwEventWrite'
                                  b'ntdll.dll'                                  b'NtCreateTransaction'
                                  b'ntdll.dll'                                b'NtRollbackTransaction'
                                  b'ntdll.dll'                                             b'wcscat_s'
                                  b'ntdll.dll'                                               b'wcschr'
                                  b'ntdll.dll'                                  b'NtCommitTransaction'
                                  b'ntdll.dll'                               b'NtSetInformationThread'
                                  b'ntdll.dll'                                 b'RtlInitUnicodeString'
                                  b'ntdll.dll'                            b'RtlUnicodeStringToInteger'
                                  b'ntdll.dll'                                b'RtlMakeSelfRelativeSD'
                                  b'ntdll.dll'                                     b'RtlImageNtHeader'
                                  b'ntdll.dll'                                   b'EtwEventUnregister'
                                  b'ntdll.dll'                              b'EtwUnregisterTraceGuids'
                                  b'ntdll.dll'                               b'EtwGetTraceEnableFlags'
                                  b'ntdll.dll'                              b'EtwGetTraceLoggerHandle'
                                  b'ntdll.dll'                               b'EtwGetTraceEnableLevel'
                                  b'ntdll.dll'                               b'EtwRegisterTraceGuidsW'
                                  b'ntdll.dll'                                           b'swprintf_s'
                                  b'ntdll.dll'                                      b'EtwTraceMessage'
                                  b'ntdll.dll'                                               b'memset'
                                  b'ntdll.dll'                                               b'memcpy'
                                  b'ntdll.dll'                                 b'__C_specific_handler'
                                  b'ntdll.dll'                                               b'wcscmp'
       b'api-ms-win-core-delayload-l1-1-1.dll'                                 b'DelayLoadFailureHook'
       b'api-ms-win-core-delayload-l1-1-1.dll'                                b'ResolveDelayLoadedAPI'
