                              b'msvcp110_win.dll'                  b'?_Xbad_alloc@std@@YAXXZ'
                                    b'msvcrt.dll'                       b'__CxxFrameHandler3'
                                    b'msvcrt.dll'                                  b'memmove'
                                    b'msvcrt.dll'                                 b'_wcsicmp'
                                    b'msvcrt.dll'                             b'_wmakepath_s'
                                    b'msvcrt.dll'                            b'_wsplitpath_s'
                                    b'msvcrt.dll'                                   b'memcpy'
                                    b'msvcrt.dll'                                   b'memcmp'
                                    b'msvcrt.dll'                       b'_CxxThrowException'
                                    b'msvcrt.dll'                            b'??3@YAXPEAX@Z'
                                    b'msvcrt.dll'                            b'_resetstkoflw'
                                    b'msvcrt.dll'                           b'??_V@YAXPEAX@Z'
                                    b'msvcrt.dll'                    b'??1type_info@@UEAA@XZ'
                                    b'msvcrt.dll'                                  b'_onexit'
                                    b'msvcrt.dll'                              b'__dllonexit'
                                    b'msvcrt.dll'                                  b'_unlock'
                                    b'msvcrt.dll'                                    b'_lock'
                                    b'msvcrt.dll'                        b'?terminate@@YAXXZ'
                                    b'msvcrt.dll'                                  b'realloc'
                                    b'msvcrt.dll'                                   b'_errno'
                                    b'msvcrt.dll'                     b'__C_specific_handler'
                                    b'msvcrt.dll'                                b'_initterm'
                                    b'msvcrt.dll'                               b'_amsg_exit'
                                    b'msvcrt.dll'                              b'_XcptFilter'
                                    b'msvcrt.dll'                                b'_callnewh'
                                    b'msvcrt.dll'                                   b'memset'
                                    b'msvcrt.dll'                                b'wcsncpy_s'
                                    b'msvcrt.dll'                                   b'malloc'
                                    b'msvcrt.dll'                                     b'free'
                                    b'msvcrt.dll'                             b'_vsnprintf_s'
                                    b'msvcrt.dll'              b'??0exception@@QEAA@AEBV0@@Z'
                                    b'msvcrt.dll'                    b'??0exception@@QEAA@XZ'
                                    b'msvcrt.dll'                    b'??1exception@@UEAA@XZ'
                                    b'msvcrt.dll'                                b'_purecall'
                                    b'msvcrt.dll'                                 b'wcscat_s'
                                    b'msvcrt.dll'                                 b'wcscpy_s'
                                    b'msvcrt.dll'                                 b'memcpy_s'
                                    b'msvcrt.dll'                                   b'calloc'
                                    b'msvcrt.dll'                              b'_vsnwprintf'
                                    b'msvcrt.dll'                                     b'sqrt'
                                  b'OLEAUT32.dll'                   b'LPSAFEARRAY_UserFree64'
                                  b'OLEAUT32.dll'                             b'VariantClear'
                                  b'OLEAUT32.dll'                  b'SystemTimeToVariantTime'
                                  b'OLEAUT32.dll'                  b'VariantTimeToSystemTime'
                                  b'OLEAUT32.dll'                             b'SysStringLen'
                                  b'OLEAUT32.dll'                b'LPSAFEARRAY_UserMarshal64'
                                  b'OLEAUT32.dll'                              b'VariantInit'
                                  b'OLEAUT32.dll'                       b'BSTR_UserUnmarshal'
                                  b'OLEAUT32.dll'                b'LPSAFEARRAY_UserUnmarshal'
                                  b'OLEAUT32.dll'                     b'LPSAFEARRAY_UserFree'
