                          b'ADVAPI32.dll'                                                                        b'RegGetValueW'
                          b'KERNEL32.dll'                                                                      b'SizeofResource'
                          b'KERNEL32.dll'                                                                        b'LockResource'
                          b'KERNEL32.dll'                                                                        b'LoadResource'
                          b'KERNEL32.dll'                                                                     b'FindResourceExW'
                          b'KERNEL32.dll'                                                                     b'GetCommandLineW'
                          b'KERNEL32.dll'                                                                         b'CloseHandle'
                          b'KERNEL32.dll'                                                                 b'WaitForSingleObject'
                          b'KERNEL32.dll'                                                                          b'OpenEventW'
                          b'KERNEL32.dll'                                                                  b'OutputDebugStringW'
                          b'KERNEL32.dll'                                                                    b'TerminateProcess'
                          b'KERNEL32.dll'                                                                   b'GetCurrentProcess'
                          b'KERNEL32.dll'                                                            b'UnhandledExceptionFilter'
                          b'KERNEL32.dll'                                                                        b'GetTickCount'
                          b'KERNEL32.dll'                                                             b'GetSystemTimeAsFileTime'
                          b'KERNEL32.dll'                                                                  b'GetCurrentThreadId'
                          b'KERNEL32.dll'                                                                 b'GetCurrentProcessId'
                          b'KERNEL32.dll'                                                             b'AcquireSRWLockExclusive'
                          b'KERNEL32.dll'                                                         b'SetUnhandledExceptionFilter'
                          b'KERNEL32.dll'                                                                     b'GetStartupInfoW'
                          b'KERNEL32.dll'                                                                               b'Sleep'
                          b'KERNEL32.dll'                                                                        b'GetLastError'
                          b'KERNEL32.dll'                                                                b'LeaveCriticalSection'
                          b'KERNEL32.dll'                                                                b'EnterCriticalSection'
                          b'KERNEL32.dll'                                                                      b'RaiseException'
                          b'KERNEL32.dll'                                                               b'DeleteCriticalSection'
                          b'KERNEL32.dll'                                                           b'InitializeCriticalSection'
                          b'KERNEL32.dll'                                                                         b'HeapDestroy'
                          b'KERNEL32.dll'                                                                      b'GetProcessHeap'
                          b'KERNEL32.dll'                                                                           b'HeapAlloc'
                          b'KERNEL32.dll'                                                                            b'HeapFree'
                          b'KERNEL32.dll'                                                                         b'HeapReAlloc'
                          b'KERNEL32.dll'                                                                            b'HeapSize'
                          b'KERNEL32.dll'                                                             b'ReleaseSRWLockExclusive'
                          b'KERNEL32.dll'                                                                       b'DecodePointer'
                          b'KERNEL32.dll'                                                                    b'GetModuleHandleW'
                          b'KERNEL32.dll'                                                             b'QueryPerformanceCounter'
                            b'USER32.dll'                                                                    b'TranslateMessage'
                            b'USER32.dll'                                                                    b'DispatchMessageW'
                            b'USER32.dll'                                                                         b'LoadStringW'
                            b'USER32.dll'                                                                    b'UnregisterClassA'
                            b'USER32.dll'                                                                         b'GetMessageW'
                            b'msvcrt.dll'                                                                  b'__CxxFrameHandler3'
                            b'msvcrt.dll'                                                               b'??1type_info@@UEAA@XZ'
                            b'msvcrt.dll'                                                                             b'_onexit'
                            b'msvcrt.dll'                                                                         b'__dllonexit'
                            b'msvcrt.dll'                                                                               b'_lock'
                            b'msvcrt.dll'                                                                   b'?terminate@@YAXXZ'
                            b'msvcrt.dll'                                                                            b'_commode'
                            b'msvcrt.dll'                                                                              b'_fmode'
                            b'msvcrt.dll'                                                                             b'_wcmdln'
                            b'msvcrt.dll'                                                                             b'_unlock'
                            b'msvcrt.dll'                                                                           b'_initterm'
                            b'msvcrt.dll'                                                                    b'__setusermatherr'
                            b'msvcrt.dll'                                                                              b'_cexit'
                            b'msvcrt.dll'                                                                               b'_exit'
                            b'msvcrt.dll'                                                                              b'memcpy'
                            b'msvcrt.dll'                                                                      b'__wgetmainargs'
                            b'msvcrt.dll'                                                                          b'_amsg_exit'
                            b'msvcrt.dll'                                                                         b'_XcptFilter'
                            b'msvcrt.dll'                                                                  b'_CxxThrowException'
                            b'msvcrt.dll'                                                                           b'_callnewh'
                            b'msvcrt.dll'                                                         b'?what@exception@@UEBAPEBDXZ'
                            b'msvcrt.dll'                                                               b'??1exception@@UEAA@XZ'
                            b'msvcrt.dll'                                                         b'??0exception@@QEAA@AEBV0@@Z'
                            b'msvcrt.dll'                                                       b'??0exception@@QEAA@AEBQEBDH@Z'
                            b'msvcrt.dll'                                                                              b'malloc'
                            b'msvcrt.dll'                                                                                b'free'
                            b'msvcrt.dll'                                                                              b'memset'
                            b'msvcrt.dll'                                                                           b'_purecall'
                            b'msvcrt.dll'                                                                           b'memmove_s'
                            b'msvcrt.dll'                                                                            b'memcpy_s'
                            b'msvcrt.dll'                                                                            b'_wcsicmp'
                            b'msvcrt.dll'                                                                                b'exit'
                            b'msvcrt.dll'                                                                b'__C_specific_handler'
                            b'msvcrt.dll'                                                                      b'__set_app_type'
                            b'msvcrt.dll'                                                                         b'_vscwprintf'
                            b'msvcrt.dll'                                                                         b'vswprintf_s'
                           b'SHELL32.dll'                                                                  b'CommandLineToArgvW'
                             b'ntdll.dll'                                                              b'RtlLookupFunctionEntry'
                             b'ntdll.dll'                                                                    b'RtlVirtualUnwind'
                             b'ntdll.dll'                                                                   b'RtlCaptureContext'
                             b'ole32.dll'                                                                        b'CoInitialize'
                             b'ole32.dll'                                                                    b'CoCreateInstance'
                             b'ole32.dll'                                                                      b'CoTaskMemAlloc'
                          b'OLEAUT32.dll'                                                                      b'SysAllocString'
                          b'OLEAUT32.dll'                                                                       b'SysFreeString'
b'api-ms-win-core-winrt-error-l1-1-1.dll'                                                                    b'RoOriginateError'
                             b'DUI70.dll'               b'?SetXMLFromResource@DUIXmlParser@DirectUI@@QEAAJIPEAUHINSTANCE__@@0@Z'
                             b'DUI70.dll'      b'?CreateElement@DUIXmlParser@DirectUI@@QEAAJPEBGPEAVElement@2@1PEAKPEAPEAV32@@Z'
                             b'DUI70.dll'                                                b'?Destroy@Element@DirectUI@@QEAAJ_N@Z'
                             b'DUI70.dll' b'?Create@DUIXmlParser@DirectUI@@SAJPEAPEAV12@P6APEAVValue@2@PEBGPEAX@Z2P6AX11H2@Z2@Z'
                           b'WDSCORE.dll'                                                               b'ConstructPartialMsgVW'
                           b'WDSCORE.dll'                                                                           b'CurrentIP'
                           b'WDSCORE.dll'                                                                 b'WdsSetupLogMessageW'
