                                   b'XmlLite.dll'                              b'CreateXmlReader'
                                    b'RPCRT4.dll'                       b'IUnknown_Release_Proxy'
                                    b'RPCRT4.dll'                    b'NdrStubForwardingFunction'
                                    b'RPCRT4.dll'                        b'CStdStubBuffer_AddRef'
                                    b'RPCRT4.dll'                                   b'NdrOleFree'
                                    b'RPCRT4.dll'                       b'CStdStubBuffer_Connect'
                                    b'RPCRT4.dll'                        b'IUnknown_AddRef_Proxy'
                                    b'RPCRT4.dll'                        b'CStdStubBuffer_Invoke'
                                    b'RPCRT4.dll'                                 b'NdrStubCall3'
                                    b'RPCRT4.dll'                b'CStdStubBuffer_IsIIDSupported'
                                    b'RPCRT4.dll'                b'IUnknown_QueryInterface_Proxy'
                                    b'RPCRT4.dll'                    b'CStdStubBuffer_Disconnect'
                                    b'RPCRT4.dll'            b'CStdStubBuffer_DebugServerRelease'
                                    b'RPCRT4.dll'                               b'NdrOleAllocate'
                                    b'RPCRT4.dll'                    b'NdrCStdStubBuffer_Release'
                                    b'RPCRT4.dll'                           b'NdrDllCanUnloadNow'
                                    b'RPCRT4.dll'                         b'NdrDllGetClassObject'
                                    b'RPCRT4.dll'                     b'CStdStubBuffer_CountRefs'
                                    b'RPCRT4.dll'                   b'NdrCStdStubBuffer2_Release'
                                    b'RPCRT4.dll'                b'CStdStubBuffer_QueryInterface'
                                    b'RPCRT4.dll'     b'CStdStubBuffer_DebugServerQueryInterface'
              b'api-ms-win-core-synch-l1-2-0.dll'                               b'CreateMutexExW'
              b'api-ms-win-core-synch-l1-2-0.dll'                         b'AcquireSRWLockShared'
              b'api-ms-win-core-synch-l1-2-0.dll'                        b'WaitForSingleObjectEx'
              b'api-ms-win-core-synch-l1-2-0.dll'                                 b'ReleaseMutex'
              b'api-ms-win-core-synch-l1-2-0.dll'                               b'OpenSemaphoreW'
              b'api-ms-win-core-synch-l1-2-0.dll'                             b'ReleaseSemaphore'
              b'api-ms-win-core-synch-l1-2-0.dll'                        b'DeleteCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                  b'InitializeCriticalSectionEx'
              b'api-ms-win-core-synch-l1-2-0.dll'                          b'WaitForSingleObject'
              b'api-ms-win-core-synch-l1-2-0.dll'                           b'CreateSemaphoreExW'
              b'api-ms-win-core-synch-l1-2-0.dll'                         b'ReleaseSRWLockShared'
              b'api-ms-win-core-synch-l1-2-0.dll'                      b'AcquireSRWLockExclusive'
              b'api-ms-win-core-synch-l1-2-0.dll'                         b'EnterCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                         b'LeaveCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                            b'InitializeSRWLock'
              b'api-ms-win-core-synch-l1-2-0.dll'                                 b'CreateEventW'
              b'api-ms-win-core-synch-l1-2-0.dll'                      b'ReleaseSRWLockExclusive'
              b'api-ms-win-core-synch-l1-2-0.dll'                      b'InitOnceBeginInitialize'
              b'api-ms-win-core-synch-l1-2-0.dll'                          b'InitOnceExecuteOnce'
              b'api-ms-win-core-synch-l1-2-0.dll'                    b'InitializeCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                                        b'Sleep'
              b'api-ms-win-core-synch-l1-2-0.dll'                                     b'SetEvent'
              b'api-ms-win-core-synch-l1-2-0.dll'                             b'InitOnceComplete'
              b'api-ms-win-core-synch-l1-2-0.dll'                               b'CreateEventExW'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                        b'HSTRING_UserUnmarshal'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                  b'WindowsCompareStringOrdinal'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                          b'WindowsCreateString'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                        b'HSTRING_UserMarshal64'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                      b'HSTRING_UserUnmarshal64'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'          b'WindowsSubstringWithSpecifiedLength'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                          b'WindowsGetStringLen'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                 b'WindowsStringHasEmbeddedNull'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                         b'WindowsIsStringEmpty'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                       b'WindowsDuplicateString'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                           b'HSTRING_UserFree64'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                             b'HSTRING_UserSize'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                          b'HSTRING_UserMarshal'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                             b'HSTRING_UserFree'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                          b'WindowsDeleteString'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                 b'WindowsCreateStringReference'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                           b'HSTRING_UserSize64'
       b'api-ms-win-core-winrt-string-l1-1-0.dll'                    b'WindowsGetStringRawBuffer'
               b'api-ms-win-core-util-l1-1-0.dll'                                b'DecodePointer'
               b'api-ms-win-core-util-l1-1-0.dll'                                b'EncodePointer'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                       b'SetRestrictedErrorInfo'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'             b'RoGetMatchingRestrictedErrorInfo'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                             b'RoOriginateError'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                       b'GetRestrictedErrorInfo'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                            b'RoOriginateErrorW'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                    b'IsErrorPropagationEnabled'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                             b'RoTransformError'
        b'api-ms-win-core-winrt-error-l1-1-1.dll'                       b'RoReportFailedDelegate'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                           b'GetModuleFileNameA'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                                  b'FreeLibrary'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                     b'FreeLibraryAndExitThread'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                               b'LoadLibraryExW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                              b'FindResourceExW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                                 b'LoadResource'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                                  b'LoadStringW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                               b'GetProcAddress'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                    b'DisableThreadLibraryCalls'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                                 b'LockResource'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                           b'GetModuleHandleExW'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                  b'TlsGetValue'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                            b'GetCurrentProcess'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                 b'CreateThread'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                          b'GetCurrentProcessId'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                      b'TlsFree'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                             b'TerminateProcess'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                  b'TlsSetValue'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                     b'TlsAlloc'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                           b'GetCurrentThreadId'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                 b'GetProcessId'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                                  b'OpenProcess'
     b'api-ms-win-core-processthreads-l1-1-2.dll'                             b'OpenProcessToken'
       b'api-ms-win-eventing-provider-l1-1-0.dll'                                b'EventRegister'
       b'api-ms-win-eventing-provider-l1-1-0.dll'                           b'EventWriteTransfer'
       b'api-ms-win-eventing-provider-l1-1-0.dll'                       b'EventActivityIdControl'
       b'api-ms-win-eventing-provider-l1-1-0.dll'                          b'EventSetInformation'
       b'api-ms-win-eventing-provider-l1-1-0.dll'                              b'EventUnregister'
              b'api-ms-win-core-debug-l1-1-1.dll'                           b'OutputDebugStringW'
       b'api-ms-win-core-localization-l1-2-1.dll'                               b'FormatMessageW'
               b'api-ms-win-core-heap-l1-2-0.dll'                                    b'HeapAlloc'
