                                   b'USER32.dll'               b'GetSystemMetrics'
                                   b'msvcrt.dll'                     b'_amsg_exit'
                                   b'msvcrt.dll'               b'__setusermatherr'
                                   b'msvcrt.dll'                      b'_initterm'
                                   b'msvcrt.dll'                          b'_wtol'
                                   b'msvcrt.dll'                      b'_wcsnicmp'
                                   b'msvcrt.dll'                       b'_commode'
                                   b'msvcrt.dll'           b'__C_specific_handler'
                                   b'msvcrt.dll'                           b'exit'
                                   b'msvcrt.dll'                         b'wcschr'
                                   b'msvcrt.dll'                    b'_XcptFilter'
                                   b'msvcrt.dll'                        b'_wcmdln'
                                   b'msvcrt.dll'                         b'_fmode'
                                   b'msvcrt.dll'              b'?terminate@@YAXXZ'
                                   b'msvcrt.dll'                       b'_wcsicmp'
                                   b'msvcrt.dll'                        b'_onexit'
                                   b'msvcrt.dll'                       b'memcpy_s'
                                   b'msvcrt.dll'                    b'__dllonexit'
                                   b'msvcrt.dll'                        b'_unlock'
                                   b'msvcrt.dll'                          b'_lock'
                                   b'msvcrt.dll'                          b'_exit'
                                   b'msvcrt.dll'                    b'_vsnwprintf'
                                   b'msvcrt.dll'                 b'__set_app_type'
                                   b'msvcrt.dll'                         b'_cexit'
                                   b'msvcrt.dll'                 b'__wgetmainargs'
                                   b'msvcrt.dll'                         b'memset'
     b'api-ms-win-core-libraryloader-l1-2-0.dll'                 b'GetProcAddress'
     b'api-ms-win-core-libraryloader-l1-2-0.dll'               b'GetModuleHandleW'
     b'api-ms-win-core-libraryloader-l1-2-0.dll'                 b'LoadLibraryExW'
     b'api-ms-win-core-libraryloader-l1-2-0.dll'             b'GetModuleFileNameA'
     b'api-ms-win-core-libraryloader-l1-2-0.dll'             b'GetModuleHandleExW'
             b'api-ms-win-core-synch-l1-2-0.dll'                          b'Sleep'
             b'api-ms-win-core-synch-l1-2-0.dll'                 b'CreateMutexExW'
             b'api-ms-win-core-synch-l1-2-0.dll'                 b'OpenSemaphoreW'
             b'api-ms-win-core-synch-l1-2-0.dll'             b'CreateSemaphoreExW'
             b'api-ms-win-core-synch-l1-2-0.dll'               b'ReleaseSemaphore'
             b'api-ms-win-core-synch-l1-2-0.dll'            b'WaitForSingleObject'
             b'api-ms-win-core-synch-l1-2-0.dll'          b'WaitForSingleObjectEx'
             b'api-ms-win-core-synch-l1-2-0.dll'                   b'ReleaseMutex'
              b'api-ms-win-core-heap-l1-2-0.dll'                       b'HeapFree'
              b'api-ms-win-core-heap-l1-2-0.dll'                 b'GetProcessHeap'
              b'api-ms-win-core-heap-l1-2-0.dll'                      b'HeapAlloc'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                   b'SetLastError'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'                   b'GetLastError'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'       b'UnhandledExceptionFilter'
     b'api-ms-win-core-errorhandling-l1-1-1.dll'    b'SetUnhandledExceptionFilter'
b'api-ms-win-core-processenvironment-l1-2-0.dll'                b'GetCommandLineW'
          b'api-ms-win-core-registry-l1-1-0.dll'                  b'RegOpenKeyExW'
          b'api-ms-win-core-registry-l1-1-0.dll'                   b'RegGetValueW'
          b'api-ms-win-core-registry-l1-1-0.dll'                    b'RegCloseKey'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                b'GetStartupInfoW'
    b'api-ms-win-core-processthreads-l1-1-2.dll'             b'GetCurrentThreadId'
    b'api-ms-win-core-processthreads-l1-1-2.dll'              b'GetCurrentProcess'
    b'api-ms-win-core-processthreads-l1-1-2.dll'               b'TerminateProcess'
    b'api-ms-win-core-processthreads-l1-1-2.dll'            b'GetCurrentProcessId'
      b'api-ms-win-core-localization-l1-2-1.dll'                 b'FormatMessageW'
      b'api-ms-win-core-localization-l1-2-1.dll' b'SetProcessPreferredUILanguages'
             b'api-ms-win-core-debug-l1-1-1.dll'             b'OutputDebugStringW'
          b'api-ms-win-core-registry-l1-1-1.dll'             b'RegDeleteKeyValueW'
            b'api-ms-win-core-handle-l1-1-0.dll'                    b'CloseHandle'
              b'api-ms-win-core-heap-l2-1-0.dll'                      b'LocalFree'
        b'api-ms-win-core-rtlsupport-l1-2-0.dll'         b'RtlLookupFunctionEntry'
        b'api-ms-win-core-rtlsupport-l1-2-0.dll'               b'RtlVirtualUnwind'
        b'api-ms-win-core-rtlsupport-l1-2-0.dll'              b'RtlCaptureContext'
           b'api-ms-win-core-profile-l1-1-0.dll'        b'QueryPerformanceCounter'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'        b'GetSystemTimeAsFileTime'
           b'api-ms-win-core-sysinfo-l1-2-1.dll'                   b'GetTickCount'
        b'api-ms-win-shcore-obsolete-l1-1-0.dll'             b'CommandLineToArgvW'
  b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                    b'StrToIntExW'
                                    b'ntdll.dll'          b'RtlNtStatusToDosError'
                                    b'ntdll.dll'       b'NtQuerySystemInformation'
