             b'api-ms-win-crt-string-l1-1-0.dll'                                    b'wcsncmp'
            b'api-ms-win-crt-runtime-l1-1-0.dll' b'_register_thread_local_exe_atexit_callback'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                                  b'_initterm'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                                b'_initterm_e'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                                    b'_c_exit'
            b'api-ms-win-crt-private-l1-1-0.dll'                                  b'_o__cexit'
            b'api-ms-win-crt-private-l1-1-0.dll'                     b'_o__configthreadlocale'
            b'api-ms-win-crt-private-l1-1-0.dll'                    b'_o__configure_wide_argv'
            b'api-ms-win-crt-private-l1-1-0.dll'                             b'_o__crt_atexit'
            b'api-ms-win-crt-private-l1-1-0.dll'                                   b'_o__exit'
            b'api-ms-win-crt-private-l1-1-0.dll'           b'_o__get_initial_wide_environment'
            b'api-ms-win-crt-private-l1-1-0.dll'                b'_o__initialize_onexit_table'
            b'api-ms-win-crt-private-l1-1-0.dll'            b'_o__initialize_wide_environment'
            b'api-ms-win-crt-private-l1-1-0.dll'               b'_o__register_onexit_function'
            b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__seh_filter_exe'
            b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o__set_app_type'
            b'api-ms-win-crt-private-l1-1-0.dll'                              b'_o__set_fmode'
            b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o__set_new_mode'
            b'api-ms-win-crt-private-l1-1-0.dll'                                     b'memcpy'
            b'api-ms-win-crt-private-l1-1-0.dll'                                b'_o__wcsicmp'
            b'api-ms-win-crt-private-l1-1-0.dll'                                    b'_o_exit'
            b'api-ms-win-crt-private-l1-1-0.dll'                                    b'_o_free'
            b'api-ms-win-crt-private-l1-1-0.dll'                                  b'_o_malloc'
            b'api-ms-win-crt-private-l1-1-0.dll'                                  b'_o_memset'
            b'api-ms-win-crt-private-l1-1-0.dll'                                   b'_o_qsort'
            b'api-ms-win-crt-private-l1-1-0.dll'                               b'_o_terminate'
            b'api-ms-win-crt-private-l1-1-0.dll'                       b'__C_specific_handler'
            b'api-ms-win-crt-private-l1-1-0.dll'                            b'_o___p__commode'
            b'api-ms-win-crt-private-l1-1-0.dll'                             b'_o___p___wargv'
            b'api-ms-win-crt-private-l1-1-0.dll'                              b'_o___p___argc'
            b'api-ms-win-crt-private-l1-1-0.dll'                b'_o___stdio_common_vswprintf'
                                    b'ntdll.dll'                           b'RtlVirtualUnwind'
                                    b'ntdll.dll'                     b'RtlLookupFunctionEntry'
                                    b'ntdll.dll'                          b'RtlCaptureContext'
                                   b'FLTLIB.DLL'                            b'FilterFindFirst'
                                   b'FLTLIB.DLL'                    b'FilterInstanceFindClose'
                                   b'FLTLIB.DLL'                               b'FilterAttach'
                                   b'FLTLIB.DLL'               b'FilterVolumeInstanceFindNext'
                                   b'FLTLIB.DLL'              b'FilterVolumeInstanceFindFirst'
                                   b'FLTLIB.DLL'              b'FilterVolumeInstanceFindClose'
                                   b'FLTLIB.DLL'                             b'FilterFindNext'
                                   b'FLTLIB.DLL'                      b'FilterVolumeFindFirst'
                                   b'FLTLIB.DLL'                    b'FilterInstanceFindFirst'
                                   b'FLTLIB.DLL'                               b'FilterUnload'
                                   b'FLTLIB.DLL'                                 b'FilterLoad'
                                   b'FLTLIB.DLL'                           b'FilterGetDosName'
                                   b'FLTLIB.DLL'                               b'FilterDetach'
                                   b'FLTLIB.DLL'                     b'FilterAttachAtAltitude'
                                   b'FLTLIB.DLL'                      b'FilterVolumeFindClose'
                                   b'FLTLIB.DLL'                            b'FilterFindClose'
                                   b'FLTLIB.DLL'                       b'FilterVolumeFindNext'
                                   b'FLTLIB.DLL'                     b'FilterInstanceFindNext'
    b'api-ms-win-core-processthreads-l1-1-2.dll'                           b'OpenProcessToken'
