             b'api-ms-win-crt-string-l1-1-0.dll'                                               b'strcmp'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                                          b'_initterm_e'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                                            b'_initterm'
            b'api-ms-win-crt-private-l1-1-0.dll'                    b'_o__initialize_narrow_environment'
            b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o__initialize_onexit_table'
            b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__invalid_parameter_noinfo'
            b'api-ms-win-crt-private-l1-1-0.dll'                b'_o__invalid_parameter_noinfo_noreturn'
            b'api-ms-win-crt-private-l1-1-0.dll'                                        b'_o__ismbblead'
            b'api-ms-win-crt-private-l1-1-0.dll'                                      b'_o__malloc_base'
            b'api-ms-win-crt-private-l1-1-0.dll'                                         b'_o__purecall'
            b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__register_onexit_function'
            b'api-ms-win-crt-private-l1-1-0.dll'                                   b'_o__seh_filter_dll'
            b'api-ms-win-crt-private-l1-1-0.dll'                                           b'_o__wcsdup'
            b'api-ms-win-crt-private-l1-1-0.dll'                                          b'_o__wcsicmp'
            b'api-ms-win-crt-private-l1-1-0.dll'                                               b'memcpy'
            b'api-ms-win-crt-private-l1-1-0.dll'                                             b'_o__wtoi'
            b'api-ms-win-crt-private-l1-1-0.dll'                                             b'_o_abort'
            b'api-ms-win-crt-private-l1-1-0.dll'                                             b'_o_btowc'
            b'api-ms-win-crt-private-l1-1-0.dll'                                              b'_o_free'
            b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o_malloc'
            b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o_memset'
            b'api-ms-win-crt-private-l1-1-0.dll'                                           b'_o_realloc'
            b'api-ms-win-crt-private-l1-1-0.dll'                                         b'_o_setlocale'
            b'api-ms-win-crt-private-l1-1-0.dll'                                         b'_o_terminate'
            b'api-ms-win-crt-private-l1-1-0.dll'                                          b'_o_wcscat_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                                          b'_o_wcscpy_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                                          b'_o_wcstok_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                                 b'__C_specific_handler'
            b'api-ms-win-crt-private-l1-1-0.dll'                                   b'_CxxThrowException'
            b'api-ms-win-crt-private-l1-1-0.dll'                                   b'__CxxFrameHandler3'
            b'api-ms-win-crt-private-l1-1-0.dll'                                      b'__std_terminate'
            b'api-ms-win-crt-private-l1-1-0.dll'                                        b'_o__free_base'
            b'api-ms-win-crt-private-l1-1-0.dll'                             b'_o__execute_onexit_table'
            b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o__errno'
            b'api-ms-win-crt-private-l1-1-0.dll'                                      b'_o__endthreadex'
            b'api-ms-win-crt-private-l1-1-0.dll'                                       b'_o__crt_atexit'
            b'api-ms-win-crt-private-l1-1-0.dll'                            b'_o__configure_narrow_argv'
            b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o__cexit'
            b'api-ms-win-crt-private-l1-1-0.dll'                                      b'_o__calloc_base'
            b'api-ms-win-crt-private-l1-1-0.dll'                                         b'_o__callnewh'
