             b'api-ms-win-crt-string-l1-1-0.dll'                           b'strncmp'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                         b'_initterm'
            b'api-ms-win-crt-runtime-l1-1-0.dll'                       b'_initterm_e'
            b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__cexit'
            b'api-ms-win-crt-private-l1-1-0.dll'         b'_o__configure_narrow_argv'
            b'api-ms-win-crt-private-l1-1-0.dll'          b'_o__execute_onexit_table'
            b'api-ms-win-crt-private-l1-1-0.dll' b'_o__initialize_narrow_environment'
            b'api-ms-win-crt-private-l1-1-0.dll'       b'_o__initialize_onexit_table'
            b'api-ms-win-crt-private-l1-1-0.dll'                b'_o__seh_filter_dll'
            b'api-ms-win-crt-private-l1-1-0.dll'                   b'_o__splitpath_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                            b'memcpy'
            b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o__stricmp'
            b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o__strnicmp'
            b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o__ultoa_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o_atoi'
            b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_memset'
            b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_strcat_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_strcpy_s'
            b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o_strncpy_s'
            b'api-ms-win-crt-private-l1-1-0.dll'              b'__C_specific_handler'
            b'api-ms-win-crt-private-l1-1-0.dll'   b'_o___std_type_info_destroy_list'
            b'api-ms-win-crt-private-l1-1-0.dll'                           b'strrchr'
            b'api-ms-win-crt-private-l1-1-0.dll'                           b'memmove'
            b'api-ms-win-crt-private-l1-1-0.dll'                b'__CxxFrameHandler3'
            b'api-ms-win-crt-private-l1-1-0.dll'                            b'memcmp'
                                    b'ntdll.dll'                 b'RtlCaptureContext'
                                    b'ntdll.dll'             b'RtlRunOnceExecuteOnce'
                                    b'ntdll.dll'            b'RtlLookupFunctionEntry'
                                    b'ntdll.dll'                  b'RtlVirtualUnwind'
                                    b'ntdll.dll'                b'RtlImageNtHeaderEx'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                b'GetModuleFileNameA'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                    b'LoadLibraryExW'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                b'GetModuleHandleExA'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                    b'LoadLibraryExA'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                    b'GetProcAddress'
     b'api-ms-win-core-libraryloader-l1-1-0.dll'                       b'FreeLibrary'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                b'GetCurrentThreadId'
    b'api-ms-win-core-processthreads-l1-1-0.dll'               b'GetCurrentProcessId'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                  b'TerminateProcess'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                 b'GetCurrentProcess'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                       b'TlsGetValue'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                          b'TlsAlloc'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                           b'TlsFree'
    b'api-ms-win-core-processthreads-l1-1-0.dll'                       b'TlsSetValue'
           b'api-ms-win-core-sysinfo-l1-1-0.dll'                        b'GetVersion'
           b'api-ms-win-core-sysinfo-l1-1-0.dll'                     b'GetVersionExA'
