b'ADVAPI32.dll'                                                   b'IsTextUnicode'
b'KERNEL32.dll'                                              b'HeapSetInformation'
b'KERNEL32.dll'                                             b'WideCharToMultiByte'
b'KERNEL32.dll'                                               b'GetCurrentProcess'
b'KERNEL32.dll'                                        b'UnhandledExceptionFilter'
b'KERNEL32.dll'                                                    b'GetTickCount'
b'KERNEL32.dll'                                         b'GetSystemTimeAsFileTime'
b'KERNEL32.dll'                                              b'GetCurrentThreadId'
b'KERNEL32.dll'                                             b'GetCurrentProcessId'
b'KERNEL32.dll'                                         b'QueryPerformanceCounter'
b'KERNEL32.dll'                                                b'GetModuleHandleW'
b'KERNEL32.dll'                                     b'SetUnhandledExceptionFilter'
b'KERNEL32.dll'                                                           b'Sleep'
b'KERNEL32.dll'                                                b'TerminateProcess'
  b'msvcrt.dll'                                                        b'_commode'
  b'msvcrt.dll'                                               b'?terminate@@YAXXZ'
  b'msvcrt.dll'                                                      b'_amsg_exit'
  b'msvcrt.dll'                                                   b'__getmainargs'
  b'msvcrt.dll'                                                  b'__set_app_type'
  b'msvcrt.dll'                                                            b'exit'
  b'msvcrt.dll'                                                           b'_exit'
  b'msvcrt.dll'                                                          b'_cexit'
  b'msvcrt.dll'                                                b'__setusermatherr'
  b'msvcrt.dll'                                                       b'_initterm'
  b'msvcrt.dll'                                            b'__C_specific_handler'
  b'msvcrt.dll'                                                     b'_XcptFilter'
  b'msvcrt.dll'                                                          b'_fmode'
    b'ulib.dll'                                       b'??0PATH_ARGUMENT@@QEAA@XZ'
    b'ulib.dll'            b'?QueryFile@SYSTEM@@SAPEAVFSN_FILE@@PEBVPATH@@EPEAE@Z'
    b'ulib.dll'               b'?Initialize@MULTIPLE_PATH_ARGUMENT@@QEAAEPEADEE@Z'
    b'ulib.dll'                              b'??1MULTIPLE_PATH_ARGUMENT@@UEAA@XZ'
    b'ulib.dll'                              b'??0MULTIPLE_PATH_ARGUMENT@@QEAA@XZ'
    b'ulib.dll'                                   b'?IsValueSet@ARGUMENT@@QEAAEXZ'
    b'ulib.dll'                                     b'?DebugDump@OBJECT@@UEBAXE@Z'
    b'ulib.dll'                                  b'?Compare@OBJECT@@UEBAJPEBV1@@Z'
    b'ulib.dll'                                              b'??1OBJECT@@UEAA@XZ'
    b'ulib.dll'                     b'?Initialize@PRINT_STREAM@@QEAAEPEBVPATH@@@Z'
    b'ulib.dll'                                       b'??0FLAG_ARGUMENT@@QEAA@XZ'
    b'ulib.dll'                                        b'??0PRINT_STREAM@@QEAA@XZ'
    b'ulib.dll'                  b'?SetCaseSensitive@ARGUMENT_LEXEMIZER@@QEAAXE@Z'
    b'ulib.dll'        b'?PrepareToParse@ARGUMENT_LEXEMIZER@@QEAAEPEAVWSTRING@@@Z'
    b'ulib.dll'   b'?QueryInvalidArgument@ARGUMENT_LEXEMIZER@@QEAAPEAVWSTRING@@XZ'
    b'ulib.dll'                    b'?PutSwitches@ARGUMENT_LEXEMIZER@@QEAAXPEBD@Z'
    b'ulib.dll'               b'?DoParsing@ARGUMENT_LEXEMIZER@@QEAAEPEAVARRAY@@@Z'
    b'ulib.dll'              b'?Initialize@ARGUMENT_LEXEMIZER@@QEAAEPEAVARRAY@@@Z'
    b'ulib.dll'                          b'?Initialize@FLAG_ARGUMENT@@QEAAEPEAD@Z'
    b'ulib.dll'                                  b'??0ARGUMENT_LEXEMIZER@@QEAA@XZ'
    b'ulib.dll'                        b'?Initialize@STRING_ARGUMENT@@QEAAEPEAD@Z'
    b'ulib.dll'                                       b'??1PATH_ARGUMENT@@UEAA@XZ'
    b'ulib.dll'                                     b'??0STRING_ARGUMENT@@QEAA@XZ'
    b'ulib.dll'                                             b'??0PROGRAM@@IEAA@XZ'
    b'ulib.dll'                             b'?ValidateVersion@PROGRAM@@UEBAXKK@Z'
    b'ulib.dll'                                         b'?Usage@PROGRAM@@UEBAXXZ'
    b'ulib.dll'                   b'?GetStandardError@PROGRAM@@UEAAPEAVSTREAM@@XZ'
    b'ulib.dll'                  b'?GetStandardOutput@PROGRAM@@UEAAPEAVSTREAM@@XZ'
    b'ulib.dll'                   b'?GetStandardInput@PROGRAM@@UEAAPEAVSTREAM@@XZ'
    b'ulib.dll'                                         b'?Fatal@PROGRAM@@UEBAXXZ'
    b'ulib.dll'                                   b'?Fatal@PROGRAM@@UEBAXKKPEADZZ'
    b'ulib.dll'               b'?DisplayMessage@PROGRAM@@UEBAEKW4MESSAGE_TYPE@@@Z'
    b'ulib.dll'           b'?DisplayMessage@PROGRAM@@UEBAEKW4MESSAGE_TYPE@@PEADZZ'
    b'ulib.dll'                                             b'??1PROGRAM@@UEAA@XZ'
    b'ulib.dll'                       b'?Initialize@CLASS_DESCRIPTOR@@QEAAEPEBD@Z'
    b'ulib.dll'                                    b'??0CLASS_DESCRIPTOR@@QEAA@XZ'
    b'ulib.dll'                                  b'?Initialize@PATH@@QEAAEPEBGE@Z'
    b'ulib.dll'                                                b'??0PATH@@QEAA@XZ'
    b'ulib.dll'                                   b'?Display@MESSAGE@@QEAAEPEBDZZ'
    b'ulib.dll'                                      b'Get_Standard_Output_Stream'
