b'ADVAPI32.dll'               b'IsTextUnicode'
b'KERNEL32.dll'                    b'ReadFile'
b'KERNEL32.dll'                    b'HeapFree'
b'KERNEL32.dll'                b'GetStdHandle'
b'KERNEL32.dll'                   b'GetCPInfo'
b'KERNEL32.dll'                   b'WriteFile'
b'KERNEL32.dll'                b'VirtualAlloc'
b'KERNEL32.dll'         b'SetThreadUILanguage'
b'KERNEL32.dll'         b'WaitForSingleObject'
b'KERNEL32.dll'            b'GetModuleHandleA'
b'KERNEL32.dll'         b'MultiByteToWideChar'
b'KERNEL32.dll'              b'GetConsoleMode'
b'KERNEL32.dll'                b'GetTempPathA'
b'KERNEL32.dll'           b'GetDiskFreeSpaceA'
b'KERNEL32.dll'                b'GetLastError'
b'KERNEL32.dll'                 b'CreateFileA'
b'KERNEL32.dll'                 b'CloseHandle'
b'KERNEL32.dll'               b'GetSystemInfo'
b'KERNEL32.dll'          b'HeapSetInformation'
b'KERNEL32.dll'                  b'ResetEvent'
b'KERNEL32.dll'                   b'HeapAlloc'
b'KERNEL32.dll'         b'GetOverlappedResult'
b'KERNEL32.dll'                 b'GetFileSize'
b'KERNEL32.dll'              b'GetProcessHeap'
b'KERNEL32.dll'        b'GlobalMemoryStatusEx'
b'KERNEL32.dll'         b'WideCharToMultiByte'
b'KERNEL32.dll'                 b'GetFileType'
b'KERNEL32.dll'              b'FormatMessageA'
b'KERNEL32.dll'            b'GetTempFileNameA'
b'KERNEL32.dll'                b'CreateEventA'
b'KERNEL32.dll'            b'GetModuleHandleW'
b'KERNEL32.dll'            b'TerminateProcess'
b'KERNEL32.dll'           b'GetCurrentProcess'
b'KERNEL32.dll' b'SetUnhandledExceptionFilter'
b'KERNEL32.dll'    b'UnhandledExceptionFilter'
b'KERNEL32.dll'     b'QueryPerformanceCounter'
b'KERNEL32.dll'                       b'Sleep'
b'KERNEL32.dll'         b'GetCurrentProcessId'
b'KERNEL32.dll'          b'GetCurrentThreadId'
b'KERNEL32.dll'     b'GetSystemTimeAsFileTime'
b'KERNEL32.dll'                b'GetTickCount'
  b'msvcrt.dll'                     b'wcscoll'
  b'msvcrt.dll'                 b'_XcptFilter'
  b'msvcrt.dll'                  b'_amsg_exit'
  b'msvcrt.dll'               b'__getmainargs'
  b'msvcrt.dll'              b'__set_app_type'
  b'msvcrt.dll'                       b'_exit'
  b'msvcrt.dll'                      b'_cexit'
  b'msvcrt.dll'            b'__setusermatherr'
  b'msvcrt.dll'                   b'_initterm'
  b'msvcrt.dll'        b'__C_specific_handler'
  b'msvcrt.dll'                      b'_fmode'
  b'msvcrt.dll'                    b'_commode'
  b'msvcrt.dll'           b'?terminate@@YAXXZ'
  b'msvcrt.dll'                      b'memcpy'
  b'msvcrt.dll'                  b'__iob_func'
  b'msvcrt.dll'                      b'strchr'
  b'msvcrt.dll'                        b'atoi'
  b'msvcrt.dll'                    b'strcpy_s'
  b'msvcrt.dll'                   b'_strnicmp'
  b'msvcrt.dll'                     b'fprintf'
  b'msvcrt.dll'                   b'_stricoll'
  b'msvcrt.dll'                     b'strcoll'
  b'msvcrt.dll'                   b'setlocale'
  b'msvcrt.dll'                   b'_wcsicoll'
  b'msvcrt.dll'                        b'exit'
  b'msvcrt.dll'                       b'qsort'
  b'msvcrt.dll'                      b'memset'
   b'ntdll.dll'      b'RtlLookupFunctionEntry'
   b'ntdll.dll'           b'RtlCaptureContext'
   b'ntdll.dll'            b'RtlUnicodeToOemN'
   b'ntdll.dll'      b'RtlMultiByteToUnicodeN'
   b'ntdll.dll'            b'RtlVirtualUnwind'
