         b'api-ms-win-crt-string-l1-1-0.dll'                           b'wcsnlen'
        b'api-ms-win-crt-runtime-l1-1-0.dll'                       b'_initterm_e'
        b'api-ms-win-crt-runtime-l1-1-0.dll'                         b'_initterm'
        b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__cexit'
        b'api-ms-win-crt-private-l1-1-0.dll'         b'_o__configure_narrow_argv'
        b'api-ms-win-crt-private-l1-1-0.dll'          b'_o__execute_onexit_table'
        b'api-ms-win-crt-private-l1-1-0.dll' b'_o__initialize_narrow_environment'
        b'api-ms-win-crt-private-l1-1-0.dll'       b'_o__initialize_onexit_table'
        b'api-ms-win-crt-private-l1-1-0.dll'                        b'_o__itow_s'
        b'api-ms-win-crt-private-l1-1-0.dll'                b'_o__seh_filter_dll'
        b'api-ms-win-crt-private-l1-1-0.dll'                            b'memcpy'
        b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o__wcsicmp'
        b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o__wcsnicmp'
        b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o_free'
        b'api-ms-win-crt-private-l1-1-0.dll'                        b'_o_isdigit'
        b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_memset'
        b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_strcpy_s'
        b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_wcscat_s'
        b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_wcscpy_s'
        b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o_wcsncpy_s'
        b'api-ms-win-crt-private-l1-1-0.dll'              b'__C_specific_handler'
        b'api-ms-win-crt-private-l1-1-0.dll'   b'_o___std_type_info_destroy_list'
        b'api-ms-win-crt-private-l1-1-0.dll'                            b'strchr'
        b'api-ms-win-crt-private-l1-1-0.dll'                   b'__RTDynamicCast'
                               b'RPCRT4.dll'      b'RpcBindingFromStringBindingW'
                               b'RPCRT4.dll'                    b'NdrClientCall3'
                               b'RPCRT4.dll'          b'RpcStringBindingComposeW'
                               b'RPCRT4.dll'                    b'RpcStringFreeW'
                               b'RPCRT4.dll'                    b'RpcBindingFree'
                               b'RPCRT4.dll'              b'I_RpcExceptionFilter'
      b'api-ms-win-core-registry-l1-1-0.dll'                       b'RegCloseKey'
      b'api-ms-win-core-registry-l1-1-0.dll'                     b'RegOpenKeyExW'
      b'api-ms-win-core-registry-l1-1-0.dll'                  b'RegQueryValueExW'
       b'api-ms-win-core-sysinfo-l1-2-1.dll'                    b'GetTickCount64'
       b'api-ms-win-core-sysinfo-l1-2-1.dll'                b'GetComputerNameExW'
       b'api-ms-win-core-sysinfo-l1-2-1.dll'           b'GetSystemTimeAsFileTime'
 b'api-ms-win-core-libraryloader-l1-2-0.dll'                    b'LoadLibraryExW'
 b'api-ms-win-core-libraryloader-l1-2-0.dll'                    b'GetProcAddress'
 b'api-ms-win-core-libraryloader-l1-2-0.dll'                       b'FreeLibrary'
 b'api-ms-win-core-libraryloader-l1-2-0.dll'         b'DisableThreadLibraryCalls'
    b'api-ms-win-core-rtlsupport-l1-2-0.dll'                  b'RtlCompareMemory'
