                              b'msvcp110_win.dll'                  b'?_Xbad_alloc@std@@YAXXZ'
                                    b'msvcrt.dll'                                  b'_onexit'
                                    b'msvcrt.dll'                              b'__dllonexit'
                                    b'msvcrt.dll'                                  b'_unlock'
                                    b'msvcrt.dll'                                    b'_lock'
                                    b'msvcrt.dll'                                  b'realloc'
                                    b'msvcrt.dll'                                   b'_errno'
                                    b'msvcrt.dll'                    b'??1type_info@@UEAA@XZ'
                                    b'msvcrt.dll'                        b'?terminate@@YAXXZ'
                                    b'msvcrt.dll'                     b'__C_specific_handler'
                                    b'msvcrt.dll'                                b'_initterm'
                                    b'msvcrt.dll'                               b'_amsg_exit'
                                    b'msvcrt.dll'                              b'_XcptFilter'
                                    b'msvcrt.dll'                                b'_callnewh'
                                    b'msvcrt.dll'                                   b'memset'
                                    b'msvcrt.dll'                                b'_purecall'
                                    b'msvcrt.dll'                                 b'memcpy_s'
                                    b'msvcrt.dll'                                     b'free'
                                    b'msvcrt.dll'                                   b'malloc'
                                    b'msvcrt.dll'                                b'wcsncpy_s'
                                    b'msvcrt.dll'                           b'??_V@YAXPEAX@Z'
                                    b'msvcrt.dll'                            b'??3@YAXPEAX@Z'
                                    b'msvcrt.dll'                       b'_CxxThrowException'
                                    b'msvcrt.dll'                       b'__CxxFrameHandler3'
                                    b'msvcrt.dll'                                   b'memcmp'
                                    b'msvcrt.dll'                                   b'wcscmp'
                                  b'OLEAUT32.dll'                          b'BSTR_UserSize64'
                                  b'OLEAUT32.dll'                     b'BSTR_UserUnmarshal64'
                                  b'OLEAUT32.dll'                    b'VARIANT_UserUnmarshal'
                                  b'OLEAUT32.dll'                             b'SysStringLen'
                                  b'OLEAUT32.dll'                           b'LoadRegTypeLib'
                                  b'OLEAUT32.dll'                            b'VarUI4FromStr'
                                  b'OLEAUT32.dll'                              b'LoadTypeLib'
                                  b'OLEAUT32.dll'                  b'SystemTimeToVariantTime'
                                  b'OLEAUT32.dll'                         b'VARIANT_UserSize'
                                  b'OLEAUT32.dll'                            b'BSTR_UserFree'
                                  b'OLEAUT32.dll'                    b'VARIANT_UserMarshal64'
                                  b'OLEAUT32.dll'                       b'BSTR_UserMarshal64'
                                  b'OLEAUT32.dll'                       b'VARIANT_UserSize64'
                                  b'OLEAUT32.dll'                             b'VariantClear'
                                  b'OLEAUT32.dll'                              b'VariantInit'
                                  b'OLEAUT32.dll'                            b'BSTR_UserSize'
                                  b'OLEAUT32.dll'                            b'SysFreeString'
                                  b'OLEAUT32.dll'                          b'BSTR_UserFree64'
                                  b'OLEAUT32.dll'                  b'VARIANT_UserUnmarshal64'
                                  b'OLEAUT32.dll'                         b'VARIANT_UserFree'
                                  b'OLEAUT32.dll'                       b'VARIANT_UserFree64'
                                  b'OLEAUT32.dll'                       b'BSTR_UserUnmarshal'
                                  b'OLEAUT32.dll'                      b'VARIANT_UserMarshal'
                                  b'OLEAUT32.dll'                         b'BSTR_UserMarshal'
                                    b'RPCRT4.dll'                 b'CStdStubBuffer_CountRefs'
                                    b'RPCRT4.dll'            b'CStdStubBuffer_QueryInterface'
                                    b'RPCRT4.dll'                           b'NdrOleAllocate'
                                    b'RPCRT4.dll'                b'CStdStubBuffer_Disconnect'
                                    b'RPCRT4.dll'            b'IUnknown_QueryInterface_Proxy'
                                    b'RPCRT4.dll'            b'CStdStubBuffer_IsIIDSupported'
                                    b'RPCRT4.dll'                    b'CStdStubBuffer_Invoke'
                                    b'RPCRT4.dll'                   b'IUnknown_Release_Proxy'
                                    b'RPCRT4.dll'                   b'CStdStubBuffer_Connect'
                                    b'RPCRT4.dll'                    b'CStdStubBuffer_AddRef'
                                    b'RPCRT4.dll'                b'NdrCStdStubBuffer_Release'
                                    b'RPCRT4.dll'                    b'IUnknown_AddRef_Proxy'
                                    b'RPCRT4.dll' b'CStdStubBuffer_DebugServerQueryInterface'
                                    b'RPCRT4.dll'                               b'NdrOleFree'
                                    b'RPCRT4.dll'                       b'NdrDllCanUnloadNow'
                                    b'RPCRT4.dll'                     b'NdrDllGetClassObject'
                                    b'RPCRT4.dll'        b'CStdStubBuffer_DebugServerRelease'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient8'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient9'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient12'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient17'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient10'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient14'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient11'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient19'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient3'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient16'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient5'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient13'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient7'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient18'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient21'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient15'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient4'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                    b'ObjectStublessClient6'
  b'api-ms-win-core-com-midlproxystub-l1-1-0.dll'                   b'ObjectStublessClient20'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                           b'LoadLibraryExW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                           b'GetProcAddress'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                             b'LoadResource'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                          b'FindResourceExW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                       b'GetModuleFileNameW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                           b'SizeofResource'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                         b'GetModuleHandleW'
      b'api-ms-win-core-libraryloader-l1-2-0.dll'                              b'FreeLibrary'
                b'api-ms-win-core-com-l1-1-1.dll'                         b'CoTaskMemRealloc'
                b'api-ms-win-core-com-l1-1-1.dll'            b'CoCreateFreeThreadedMarshaler'
                b'api-ms-win-core-com-l1-1-1.dll'                           b'CoTaskMemAlloc'
                b'api-ms-win-core-com-l1-1-1.dll'                         b'CoCreateInstance'
                b'api-ms-win-core-com-l1-1-1.dll'                            b'CoTaskMemFree'
             b'api-ms-win-core-string-l2-1-0.dll'                                b'CharNextW'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'              b'SetUnhandledExceptionFilter'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                             b'SetLastError'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                             b'GetLastError'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                 b'UnhandledExceptionFilter'
      b'api-ms-win-core-errorhandling-l1-1-1.dll'                           b'RaiseException'
           b'api-ms-win-core-registry-l1-1-0.dll'                              b'RegCloseKey'
           b'api-ms-win-core-registry-l1-1-0.dll'                           b'RegSetValueExW'
           b'api-ms-win-core-registry-l1-1-0.dll'                            b'RegEnumKeyExW'
           b'api-ms-win-core-registry-l1-1-0.dll'                          b'RegCreateKeyExW'
           b'api-ms-win-core-registry-l1-1-0.dll'                          b'RegDeleteValueW'
           b'api-ms-win-core-registry-l1-1-0.dll'                            b'RegOpenKeyExW'
           b'api-ms-win-core-registry-l1-1-0.dll'                         b'RegQueryInfoKeyW'
              b'api-ms-win-core-synch-l1-2-0.dll'                    b'DeleteCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                b'InitializeCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                     b'EnterCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                     b'LeaveCriticalSection'
              b'api-ms-win-core-synch-l1-2-0.dll'                                    b'Sleep'
             b'api-ms-win-core-string-l1-1-0.dll'                      b'MultiByteToWideChar'
            b'api-ms-win-core-sysinfo-l1-2-1.dll'                  b'GetSystemTimeAsFileTime'
            b'api-ms-win-core-sysinfo-l1-2-1.dll'                             b'GetTickCount'
            b'api-ms-win-core-sysinfo-l1-2-1.dll'                      b'VerSetConditionMask'
