                       b'USER32.dll'                 b'CharUpperBuffW'
                     b'KERNEL32.dll'           b'LeaveCriticalSection'
                     b'KERNEL32.dll'          b'DeleteCriticalSection'
                     b'KERNEL32.dll'              b'GetCurrentProcess'
                     b'KERNEL32.dll'            b'GetSystemDirectoryW'
                     b'KERNEL32.dll'      b'DisableThreadLibraryCalls'
                     b'KERNEL32.dll'               b'GetModuleHandleW'
                     b'KERNEL32.dll'                 b'GetProcAddress'
                     b'KERNEL32.dll'                     b'LocalAlloc'
                     b'KERNEL32.dll'                      b'LocalFree'
                     b'KERNEL32.dll'            b'GetCurrentProcessId'
                     b'KERNEL32.dll'           b'EnterCriticalSection'
                     b'KERNEL32.dll'                    b'CreateFileW'
                     b'KERNEL32.dll'                b'DeviceIoControl'
                     b'KERNEL32.dll'            b'GetOverlappedResult'
                     b'KERNEL32.dll'                     b'ResetEvent'
                     b'KERNEL32.dll'                   b'CreateEventW'
                     b'KERNEL32.dll'                          b'Sleep'
                     b'KERNEL32.dll'                    b'FreeLibrary'
                     b'KERNEL32.dll'                   b'LoadLibraryA'
                     b'KERNEL32.dll'            b'InitializeSListHead'
                     b'KERNEL32.dll'      b'InitializeCriticalSection'
                     b'KERNEL32.dll'                b'QueryDosDeviceW'
                     b'KERNEL32.dll'               b'GetLogicalDrives'
                     b'KERNEL32.dll'             b'GetFileAttributesW'
                     b'KERNEL32.dll'               b'DefineDosDeviceW'
                     b'KERNEL32.dll'                 b'CompareStringW'
                     b'KERNEL32.dll'                b'UnmapViewOfFile'
                     b'KERNEL32.dll'                  b'MapViewOfFile'
                     b'KERNEL32.dll'               b'OpenFileMappingW'
                     b'KERNEL32.dll'             b'CreateFileMappingW'
                     b'KERNEL32.dll'                     b'OpenMutexW'
                     b'KERNEL32.dll'                   b'CreateMutexW'
                     b'KERNEL32.dll'            b'WaitForSingleObject'
                     b'KERNEL32.dll'                   b'ReleaseMutex'
                     b'KERNEL32.dll'                   b'GetLastError'
                     b'KERNEL32.dll'                    b'CloseHandle'
                     b'KERNEL32.dll'              b'IsDebuggerPresent'
                     b'KERNEL32.dll'               b'GetCurrentThread'
                     b'KERNEL32.dll'        b'GetSystemTimeAsFileTime'
                     b'KERNEL32.dll'             b'GetCurrentThreadId'
                     b'KERNEL32.dll'        b'QueryPerformanceCounter'
                     b'KERNEL32.dll'      b'IsProcessorFeaturePresent'
                     b'KERNEL32.dll'               b'TerminateProcess'
                     b'KERNEL32.dll'    b'SetUnhandledExceptionFilter'
                     b'KERNEL32.dll'       b'UnhandledExceptionFilter'
                     b'KERNEL32.dll'               b'RtlVirtualUnwind'
                     b'KERNEL32.dll'         b'RtlLookupFunctionEntry'
                     b'KERNEL32.dll'              b'RtlCaptureContext'
                     b'ADVAPI32.dll'                     b'IsValidSid'
                     b'ADVAPI32.dll'               b'RegQueryValueExA'
                     b'ADVAPI32.dll'                  b'RegOpenKeyExA'
                     b'ADVAPI32.dll'      b'SetSecurityDescriptorDacl'
                     b'ADVAPI32.dll'   b'InitializeSecurityDescriptor'
                     b'ADVAPI32.dll'                  b'InitializeAcl'
                     b'ADVAPI32.dll'            b'GetTokenInformation'
                     b'ADVAPI32.dll'                   b'GetLengthSid'
                     b'ADVAPI32.dll'                        b'FreeSid'
                     b'ADVAPI32.dll'                       b'EqualSid'
                     b'ADVAPI32.dll'                        b'CopySid'
                     b'ADVAPI32.dll'       b'AllocateAndInitializeSid'
                     b'ADVAPI32.dll'            b'AddAccessAllowedAce'
                     b'ADVAPI32.dll'                b'OpenThreadToken'
                     b'ADVAPI32.dll'               b'OpenProcessToken'
                     b'ADVAPI32.dll'               b'RegQueryValueExW'
                     b'ADVAPI32.dll'                  b'RegOpenKeyExW'
                     b'ADVAPI32.dll'                    b'RegCloseKey'
                      b'VERSION.dll'            b'GetFileVersionInfoW'
                      b'VERSION.dll'        b'GetFileVersionInfoSizeW'
                      b'VERSION.dll'                 b'VerQueryValueW'
                 b'VCRUNTIME140.dll'                        b'memmove'
                 b'VCRUNTIME140.dll'                         b'memset'
                 b'VCRUNTIME140.dll'           b'__C_specific_handler'
                 b'VCRUNTIME140.dll'                         b'memcpy'
                 b'VCRUNTIME140.dll'                        b'strrchr'
                 b'VCRUNTIME140.dll'   b'__std_type_info_destroy_list'
  b'api-ms-win-crt-stdio-l1-1-0.dll'      b'__stdio_common_vsprintf_s'
  b'api-ms-win-crt-stdio-l1-1-0.dll'       b'__stdio_common_vswprintf'
b'api-ms-win-crt-runtime-l1-1-0.dll' b'_initialize_narrow_environment'
