          b'api-ms-win-crt-string-l1-1-0.dll'                                              b'wcsncmp'
         b'api-ms-win-crt-runtime-l1-1-0.dll'                                            b'_initterm'
         b'api-ms-win-crt-runtime-l1-1-0.dll'                                          b'_initterm_e'
         b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o__cexit'
         b'api-ms-win-crt-private-l1-1-0.dll'                            b'_o__configure_narrow_argv'
         b'api-ms-win-crt-private-l1-1-0.dll'                             b'_o__execute_onexit_table'
         b'api-ms-win-crt-private-l1-1-0.dll'                    b'_o__initialize_narrow_environment'
         b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o__initialize_onexit_table'
         b'api-ms-win-crt-private-l1-1-0.dll'                                   b'_o__seh_filter_dll'
         b'api-ms-win-crt-private-l1-1-0.dll'                                               b'memcpy'
         b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o_calloc'
         b'api-ms-win-crt-private-l1-1-0.dll'                                              b'_o_free'
         b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o_malloc'
         b'api-ms-win-crt-private-l1-1-0.dll'                                            b'_o_memset'
         b'api-ms-win-crt-private-l1-1-0.dll'                                 b'__C_specific_handler'
         b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o___std_type_info_destroy_list'
                               b'WIMGAPI.DLL'                                        b'WIMMountImage'
                               b'WIMGAPI.DLL'                                      b'WIMUnmountImage'
                                 b'ntdll.dll'                          b'RtlInitEnumerationHashTable'
                                 b'ntdll.dll'                              b'RtlInsertEntryHashTable'
                                 b'ntdll.dll'                                   b'RtlAdjustPrivilege'
                                 b'ntdll.dll'                                 b'RtlInitUnicodeString'
                                 b'ntdll.dll'                            b'NtQuerySymbolicLinkObject'
                                 b'ntdll.dll'                           b'RtlEndEnumerationHashTable'
                                 b'ntdll.dll'                                          b'RtlFreeHeap'
                                 b'ntdll.dll'                             b'RtlGetNextEntryHashTable'
                                 b'ntdll.dll'                                b'RtlNtStatusToDosError'
                                 b'ntdll.dll'                              b'RtlLookupEntryHashTable'
                                 b'ntdll.dll'                                      b'RtlAllocateHeap'
                                 b'ntdll.dll'                                 b'NtQueryDirectoryFile'
                                 b'ntdll.dll'                             b'NtOpenSymbolicLinkObject'
                                 b'ntdll.dll'                           b'RtlEnumerateEntryHashTable'
                                 b'ntdll.dll'                                 b'RtlCreateHashTableEx'
                                 b'ntdll.dll'                                   b'RtlDeleteHashTable'
                                 b'ntdll.dll'                                    b'RtlCaptureContext'
                                 b'ntdll.dll'                               b'RtlLookupFunctionEntry'
                                 b'ntdll.dll'                                     b'RtlVirtualUnwind'
                                 b'ntdll.dll'                              b'RtlRemoveEntryHashTable'
           b'api-ms-win-core-file-l1-2-1.dll'                    b'GetVolumeNameForVolumeMountPointW'
           b'api-ms-win-core-file-l1-2-1.dll'                                   b'GetVolumePathNameW'
           b'api-ms-win-core-file-l1-2-1.dll'                                   b'GetFileAttributesW'
           b'api-ms-win-core-file-l1-2-1.dll'                                          b'CreateFileW'
           b'api-ms-win-core-file-l1-2-1.dll'                                     b'CreateDirectoryW'
          b'api-ms-win-core-synch-l1-2-0.dll'                            b'SleepConditionVariableSRW'
          b'api-ms-win-core-synch-l1-2-0.dll'                             b'WakeAllConditionVariable'
          b'api-ms-win-core-synch-l1-2-0.dll'                                b'WaitForSingleObjectEx'
          b'api-ms-win-core-synch-l1-2-0.dll'                              b'AcquireSRWLockExclusive'
          b'api-ms-win-core-synch-l1-2-0.dll'                              b'ReleaseSRWLockExclusive'
