        b'api-ms-win-core-libraryloader-l1-2-0.dll'             b'GetModuleFileNameW'
           b'api-ms-win-core-rtlsupport-l1-2-0.dll'              b'RtlCaptureContext'
           b'api-ms-win-core-rtlsupport-l1-2-0.dll'               b'RtlVirtualUnwind'
           b'api-ms-win-core-rtlsupport-l1-2-0.dll'         b'RtlLookupFunctionEntry'
        b'api-ms-win-core-errorhandling-l1-1-1.dll'                   b'GetLastError'
        b'api-ms-win-core-errorhandling-l1-1-1.dll'    b'SetUnhandledExceptionFilter'
        b'api-ms-win-core-errorhandling-l1-1-1.dll'       b'UnhandledExceptionFilter'
       b'api-ms-win-core-processthreads-l1-1-2.dll'            b'GetCurrentProcessId'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                   b'GetProcessId'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                 b'CreateProcessW'
       b'api-ms-win-core-processthreads-l1-1-2.dll'               b'TerminateProcess'
       b'api-ms-win-core-processthreads-l1-1-2.dll'             b'GetCurrentThreadId'
       b'api-ms-win-core-processthreads-l1-1-2.dll'              b'GetCurrentProcess'
              b'api-ms-win-core-profile-l1-1-0.dll'        b'QueryPerformanceCounter'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'        b'GetSystemTimeAsFileTime'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'            b'GetSystemDirectoryW'
              b'api-ms-win-core-sysinfo-l1-2-1.dll'                   b'GetTickCount'
                                       b'ntdll.dll' b'LdrDisableThreadCalloutsForDll'
                                       b'ntdll.dll'                        b'NtClose'
                                       b'ntdll.dll'    b'RtlFormatCurrentUserKeyPath'
                                       b'ntdll.dll'           b'RtlFreeUnicodeString'
                                       b'ntdll.dll'           b'RtlInitUnicodeString'
                                       b'ntdll.dll'    b'EtwEventWriteNoRegistration'
                                       b'ntdll.dll'           b'ZwUpdateWnfStateData'
                                       b'ntdll.dll' b'ZwQueryWnfStateNameInformation'
                                       b'ntdll.dll'       b'NtQuerySystemInformation'
                                       b'ntdll.dll'                     b'DbgPrintEx'
                                       b'ntdll.dll'                    b'NtOpenEvent'
                                       b'ntdll.dll'    b'RtlAllocateAndInitializeSid'
                                       b'ntdll.dll'              b'NtAlpcConnectPort'
                                       b'ntdll.dll'      b'NtAlpcSendWaitReceivePort'
                                       b'ntdll.dll'                    b'RtlFreeHeap'
                                       b'ntdll.dll'                     b'RtlFreeSid'
                                       b'ntdll.dll'            b'RtlCreateUserThread'
                                       b'ntdll.dll'                    b'NtDeleteKey'
                                       b'ntdll.dll'               b'NtDelayExecution'
                                       b'ntdll.dll'                b'LdrGetDllHandle'
                                       b'ntdll.dll'              b'RtlInitAnsiString'
                                       b'ntdll.dll'         b'LdrGetProcedureAddress'
                                       b'ntdll.dll'               b'NtDeleteValueKey'
                                       b'ntdll.dll'                b'RtlAllocateHeap'
                                       b'ntdll.dll'              b'RtlGUIDFromString'
                                       b'ntdll.dll'   b'RtlDosPathNameToNtPathName_U'
                                       b'ntdll.dll'                   b'NtDeleteFile'
                                       b'ntdll.dll'                      b'NtOpenKey'
                                       b'ntdll.dll'                b'NtQueryValueKey'
                                       b'ntdll.dll'                  b'NtSetValueKey'
                                       b'ntdll.dll'      b'NtQueryInformationProcess'
                                       b'ntdll.dll'          b'NtWaitForSingleObject'
                                      b'msvcrt.dll'                         b'wcschr'
                                      b'msvcrt.dll'                        b'memmove'
                                      b'msvcrt.dll'                       b'_wcsicmp'
                                      b'msvcrt.dll'                      b'_wcsnicmp'
                                      b'msvcrt.dll'                    b'_vsnwprintf'
                                      b'msvcrt.dll'                         b'memcpy'
                                      b'msvcrt.dll'                         b'memset'
                                      b'msvcrt.dll'                          b'_wtoi'
                                      b'msvcrt.dll'                        b'isspace'
b'api-ms-win-core-windowserrorreporting-l1-1-0.dll'                b'WerRegisterFile'
               b'api-ms-win-core-handle-l1-1-0.dll'                    b'CloseHandle'
               b'api-ms-win-core-memory-l1-1-2.dll'              b'ReadProcessMemory'
                b'api-ms-win-core-synch-l1-2-0.dll'                       b'SetEvent'
                b'api-ms-win-core-synch-l1-2-0.dll'                   b'CreateEventW'
                b'api-ms-win-core-synch-l1-2-0.dll'                     b'OpenEventW'
                b'api-ms-win-core-synch-l1-2-0.dll'            b'WaitForSingleObject'
                 b'api-ms-win-core-file-l1-2-1.dll'               b'GetTempFileNameW'
                 b'api-ms-win-core-file-l1-2-1.dll'                   b'GetTempPathW'
                 b'api-ms-win-core-file-l1-2-1.dll'                    b'DeleteFileW'
                 b'api-ms-win-core-file-l1-2-1.dll'                    b'CreateFileW'
  b'api-ms-win-eventing-classicprovider-l1-1-0.dll'                     b'TraceEvent'
  b'api-ms-win-eventing-classicprovider-l1-1-0.dll'            b'RegisterTraceGuidsW'
  b'api-ms-win-eventing-classicprovider-l1-1-0.dll'            b'GetTraceEnableFlags'
  b'api-ms-win-eventing-classicprovider-l1-1-0.dll'           b'GetTraceLoggerHandle'
  b'api-ms-win-eventing-classicprovider-l1-1-0.dll'            b'GetTraceEnableLevel'
       b'api-ms-win-eventing-controller-l1-1-0.dll'                    b'StartTraceW'
           b'api-ms-win-eventing-legacy-l1-1-0.dll'                    b'EnableTrace'
