                b'api-ms-win-crt-string-l1-1-0.dll'                             b'wcscmp'
               b'api-ms-win-crt-runtime-l1-1-0.dll'                          b'_initterm'
               b'api-ms-win-crt-runtime-l1-1-0.dll'                        b'_initterm_e'
               b'api-ms-win-crt-private-l1-1-0.dll'  b'_o__initialize_narrow_environment'
               b'api-ms-win-crt-private-l1-1-0.dll'        b'_o__initialize_onexit_table'
               b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o__purecall'
               b'api-ms-win-crt-private-l1-1-0.dll'       b'_o__register_onexit_function'
               b'api-ms-win-crt-private-l1-1-0.dll'                   b'_o__resetstkoflw'
               b'api-ms-win-crt-private-l1-1-0.dll'                 b'_o__seh_filter_dll'
               b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o__strtoui64'
               b'api-ms-win-crt-private-l1-1-0.dll'                             b'memcpy'
               b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o__wcsnicmp'
               b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o__wtoi'
               b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_iscntrl'
               b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_isdigit'
               b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_isspace'
               b'api-ms-win-crt-private-l1-1-0.dll'                        b'_o_iswdigit'
               b'api-ms-win-crt-private-l1-1-0.dll'                        b'_o_iswspace'
               b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o_memset'
               b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o_qsort'
               b'api-ms-win-crt-private-l1-1-0.dll'                            b'_o_rand'
               b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_tolower'
               b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o_wcstok'
               b'api-ms-win-crt-private-l1-1-0.dll'               b'__C_specific_handler'
               b'api-ms-win-crt-private-l1-1-0.dll'                             b'memcmp'
               b'api-ms-win-crt-private-l1-1-0.dll'      b'_o___stdio_common_vswprintf_s'
               b'api-ms-win-crt-private-l1-1-0.dll'                     b'_o__crt_atexit'
               b'api-ms-win-crt-private-l1-1-0.dll'          b'_o__configure_narrow_argv'
               b'api-ms-win-crt-private-l1-1-0.dll'        b'_o___stdio_common_vswprintf'
               b'api-ms-win-crt-private-l1-1-0.dll'         b'_o___stdio_common_vsprintf'
               b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o__cexit'
               b'api-ms-win-crt-private-l1-1-0.dll'    b'_o___std_type_info_destroy_list'
               b'api-ms-win-crt-private-l1-1-0.dll'           b'_o__execute_onexit_table'
               b'api-ms-win-crt-private-l1-1-0.dll'                             b'wcschr'
               b'api-ms-win-crt-private-l1-1-0.dll'                             b'wcsstr'
               b'api-ms-win-crt-private-l1-1-0.dll'                            b'memmove'
               b'api-ms-win-crt-private-l1-1-0.dll'                        b'_o__wcsicmp'
                                       b'ntdll.dll'                         b'NtOpenFile'
                                       b'ntdll.dll'           b'RtlDllShutdownInProgress'
                                       b'ntdll.dll'             b'RtlPublishWnfStateData'
                                       b'ntdll.dll'                   b'RtlVirtualUnwind'
                                       b'ntdll.dll'             b'RtlLookupFunctionEntry'
                                       b'ntdll.dll'                  b'RtlCaptureContext'
                                       b'ntdll.dll'              b'RtlNtStatusToDosError'
                                       b'ntdll.dll'          b'RtlIpv4AddressToStringExW'
                                       b'ntdll.dll'       b'RtlConvertSidToUnicodeString'
                                       b'ntdll.dll'            b'EtwUnregisterTraceGuids'
                                       b'ntdll.dll'             b'EtwRegisterTraceGuidsW'
