           b'api-ms-win-crt-string-l1-1-0.dll'                           b'wcsncmp'
          b'api-ms-win-crt-runtime-l1-1-0.dll'                         b'_initterm'
          b'api-ms-win-crt-runtime-l1-1-0.dll'                       b'_initterm_e'
          b'api-ms-win-crt-private-l1-1-0.dll'          b'_o__execute_onexit_table'
          b'api-ms-win-crt-private-l1-1-0.dll' b'_o__initialize_narrow_environment'
          b'api-ms-win-crt-private-l1-1-0.dll'       b'_o__initialize_onexit_table'
          b'api-ms-win-crt-private-l1-1-0.dll'                          b'_o__ltow'
          b'api-ms-win-crt-private-l1-1-0.dll'      b'_o__register_onexit_function'
          b'api-ms-win-crt-private-l1-1-0.dll'                  b'_o__resetstkoflw'
          b'api-ms-win-crt-private-l1-1-0.dll'                b'_o__seh_filter_dll'
          b'api-ms-win-crt-private-l1-1-0.dll'                            b'memcpy'
          b'api-ms-win-crt-private-l1-1-0.dll'                           b'_o_free'
          b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_malloc'
          b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o_memset'
          b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_wcscat_s'
          b'api-ms-win-crt-private-l1-1-0.dll'                       b'_o_wcscpy_s'
          b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o_wcsncpy_s'
          b'api-ms-win-crt-private-l1-1-0.dll'                            b'wcschr'
          b'api-ms-win-crt-private-l1-1-0.dll'              b'__C_specific_handler'
          b'api-ms-win-crt-private-l1-1-0.dll'                    b'_o__crt_atexit'
          b'api-ms-win-crt-private-l1-1-0.dll'         b'_o__configure_narrow_argv'
          b'api-ms-win-crt-private-l1-1-0.dll'   b'_o___std_type_info_destroy_list'
          b'api-ms-win-crt-private-l1-1-0.dll'                         b'_o__cexit'
          b'api-ms-win-crt-private-l1-1-0.dll'                      b'_o__callnewh'
                                  b'ntdll.dll'                 b'RtlCaptureContext'
                                  b'ntdll.dll'            b'EtwGetTraceEnableFlags'
                                  b'ntdll.dll'           b'EtwGetTraceLoggerHandle'
                                  b'ntdll.dll'            b'EtwGetTraceEnableLevel'
                                  b'ntdll.dll'            b'EtwRegisterTraceGuidsW'
                                  b'ntdll.dll'            b'RtlLookupFunctionEntry'
                                  b'ntdll.dll'                  b'RtlVirtualUnwind'
                                  b'ntdll.dll'                 b'EtwTraceMessageVa'
                                  b'ntdll.dll'             b'RtlNtStatusToDosError'
                                  b'ntdll.dll'           b'EtwUnregisterTraceGuids'
           b'api-ms-win-core-synch-l1-2-0.dll'                      b'CreateEventA'
           b'api-ms-win-core-synch-l1-2-0.dll'             b'WaitForSingleObjectEx'
           b'api-ms-win-core-synch-l1-2-0.dll'             b'DeleteCriticalSection'
           b'api-ms-win-core-synch-l1-2-0.dll'         b'InitializeCriticalSection'
           b'api-ms-win-core-synch-l1-2-0.dll'                        b'ResetEvent'
           b'api-ms-win-core-synch-l1-2-0.dll'                             b'Sleep'
           b'api-ms-win-core-synch-l1-2-0.dll'              b'LeaveCriticalSection'
           b'api-ms-win-core-synch-l1-2-0.dll'                          b'SetEvent'
           b'api-ms-win-core-synch-l1-2-0.dll'              b'EnterCriticalSection'
            b'api-ms-win-core-heap-l1-2-0.dll'                       b'HeapReAlloc'
            b'api-ms-win-core-heap-l1-2-0.dll'                         b'HeapAlloc'
            b'api-ms-win-core-heap-l1-2-0.dll'                          b'HeapFree'
            b'api-ms-win-core-heap-l1-2-0.dll'                    b'GetProcessHeap'
