Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'GetCurrentProcessId',3013,9,2992,21
b'GetCurrentThreadId',3012,9,2990,24
b'QueryPerformanceCounter',3011,7,2988,23
b'GetSystemTimeAsFileTime',3007,8,2990,17
b'RtlCaptureContext',2999,5,2999,0
b'RtlVirtualUnwind',2998,5,2998,0
b'RtlLookupFunctionEntry',2998,5,2998,0
b'GetCurrentProcess',2994,9,2973,21
b'TerminateProcess',2980,9,2956,24
b'UnhandledExceptionFilter',2978,8,2957,21
b'SetUnhandledExceptionFilter',2978,8,2959,19
b'__C_specific_handler',2924,12,2924,0
b'_initterm',2876,8,2871,5
b'GetTickCount',2799,9,2780,22
b'Sleep',2792,7,2769,25
b'GetLastError',2641,8,2618,24
b'_amsg_exit',2593,5,2593,0
b'_XcptFilter',2569,2,2566,3
b'memset',2446,11,2443,3
b'free',2441,7,2434,7
b'malloc',2433,7,2428,5
b'CloseHandle',2317,7,2290,28
b'memcpy',2205,11,2203,2
b'GetProcAddress',1997,9,1963,37
b'RegCloseKey',1946,9,1935,14
b'GetProcessHeap',1844,7,1829,16
b'HeapFree',1844,7,1824,21
b'DeleteCriticalSection',1824,8,1800,25
b'HeapAlloc',1824,7,1804,21
b'LocalFree',1800,8,1793,7
b'EnterCriticalSection',1785,8,1758,28
b'LeaveCriticalSection',1784,8,1757,28
b'_vsnwprintf',1775,5,1774,1
b'SetLastError',1765,8,1745,20
b'RegOpenKeyExW',1735,9,1732,3
b'_onexit',1715,7,1713,2
b'__dllonexit',1711,6,1709,2
b'_unlock',1709,5,1709,0
b'_lock',1709,5,1709,0
b'WaitForSingleObject',1708,8,1691,17
b'FreeLibrary',1699,8,1685,16
b'__CxxFrameHandler3',1696,6,1696,0
b'LoadLibraryExW',1652,7,1643,9
b'DisableThreadLibraryCalls',1597,7,1597,0
b'_callnewh',1592,2,1592,0
b'_purecall',1498,8,1498,0
b'GetModuleHandleW',1483,8,1465,18
b'RegQueryValueExW',1449,8,1444,5
b'FormatMessageW',1442,7,1438,4
b'InitializeCriticalSection',1435,6,1421,15
b'memmove',1395,10,1393,2
b'SetEvent',1368,8,1357,11
b'memcmp',1343,11,1342,1
b'_CxxThrowException',1342,7,1341,1
b'LocalAlloc',1322,7,1315,8
b'memcpy_s',1307,7,1307,0
b'CoCreateInstance',1292,6,1288,4
b'DelayLoadFailureHook',1287,4,1287,0
b'GetModuleHandleExW',1271,6,1263,8
b'ResolveDelayLoadedAPI',1254,3,1254,0
b'RegSetValueExW',1251,8,1246,5
b'_wcsicmp',1245,7,1244,1
b'RaiseException',1241,8,1221,20
b'??1type_info@@UEAA@XZ',1218,1,1218,0
b'CreateEventW',1203,7,1199,4
b'RegCreateKeyExW',1199,9,1195,4
b'MultiByteToWideChar',1185,7,1162,23
b'GetModuleFileNameW',1134,8,1115,19
b'EventRegister',1105,5,1105,0
b'EventUnregister',1100,5,1100,0
b'CoTaskMemFree',1094,7,1092,2
b'CreateFileW',1093,7,1075,18
b'WideCharToMultiByte',1029,7,1008,21
b'??0exception@@QEAA@AEBV0@@Z',1013,1,1013,0
b'??1exception@@UEAA@XZ',1013,1,1013,0
b'ReleaseMutex',997,6,995,2
b'GetModuleFileNameA',986,7,968,21
b'OutputDebugStringW',985,6,982,3
b'wcschr',977,8,976,1
