ransomware,executableName,path,entropy
Crysis,AAAASSSSS(och).exe,c:\Users\leonardototvs\Desktop\AAAASSSSS(och).exe,
Crysis,SETAP2.EXE,,
Djvu,28E6.TMP.EXE,,
Djvu,3FE.tmp.exe,,
Djvu,3DCB.tmp.exe,,
Djvu,4375.tmp.exe,,
Gandcrab,GC44.exe,,
Revil,myfile.exe ,,
Revil,33.exe,,
TeslaCrypt,jnxecok.exe,,
TeslaCrypt,bylibmo.exe,,
TeslaCrypt,jswoprc.exe,,
TeslaCrypt,wlnbrtx.exe,,
TeslaCrypt,qqbiyks.exe,,
TeslaCrypt,edtxeck.exe ,,
TeslaCrypt,qumvlhq.exe ,,
TeslaCrypt,myfile.exe ,,
TeslaCrypt,384.json,,
TeslaCrypt,output.149787349.txt ,,
TeslaCrypt,9dbd18.bin ,,
TeslaCrypt,Windows Update.exe.r ,,
TeslaCrypt,85F212E0.tst ,,
TeslaCrypt,rxaqana.exe.exe_,,
TeslaCrypt,kkreyfd.exe,,
TeslaCrypt,ynixoor.exe,,
TeslaCrypt,cfjkjwi.exe,,
TeslaCrypt,bitman.exe,,
TeslaCrypt,lraisfd.exe,,
Troldesh,csrss.exe,,
Troldesh,copy_example_.pnga2130d.exe ,,
Troldesh,491576.exe,,
Wannacry,mssecsvr.exe,\Windows\mssecsvr.exe,
Wannacry,mssecsvc.exe,\Windows\mssecsvc.exe,
Wannacry,SuperKeyPass.exe,,
Wannacry,diskpart.exe,,
Wannacry,tasksche.exe,,
Wannacry,tmpckm70jfi,,
Wannacry,135135.exe,,
Wannacry,Proforma Invoice and Bank swift-REG.PI-0086547654.exe,,
Wannacry,112889513.jpg,,
Wannacry,AC Bypass.EXE,,
Wannacry,pRrGxaeP.exe,,
Wannacry,master.exe,,
Wannacry,6918.exe,,
Wannacry,772813528.jpg,,
Wannacry,gruppa.EXE,,
Wannacry,ddd.exe,,
Wannacry,v.exe,,
Wannacry,juego.exe,,
Wannacry,1136580035.jpg,,
Wannacry,236160.exe,,
Wannacry,template.pdf,,
Wannacry,NEWUI~1.EXE,,
Wannacry,3.exe,,
Wannacry,Cwcix.EXE,,
